,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
187,Pidilite,4.4,Public,64,2200,8500,98,27
188,Alembic,4.1,Public,116,2200,8900,126,40
189,Atos,3.9,Private,26,2200,19600,140,1
190,Deutsche,4.1,Private,153,2200,14300,173,285
191,Cgi,4.1,Private,47,2200,16800,142,93
192,Hindalco,4.2,Public,65,2100,8000,88,12
193,CMS,3.2,Private,9,2100,9700,75,10
194,Team,3.9,Public,7,2100,13800,106,211
195,Glenmark,4.1,Public,46,2100,9000,72,22
196,Ipca,4.0,Public,74,2100,9400,88,30
197,NatWest,4.1,Private,23,2100,13400,86,2
198,DCB,3.9,Private,93,2100,7700,110,76
199,Honda,4.2,Private,24,2100,10400,84,4
200,DTDC,3.9,Private,33,2100,8600,78,36
201,ABB,4.1,Public,35,2100,14700,98,2
202,Publicis,3.6,Private,33,2100,19400,258,184
203,GATI,4.1,Private,11,2100,6400,67,17
204,Reliance,3.9,Private,23,2100,9300,83,3
205,Standard,4.0,Private,54,2100,17400,102,24
206,Customer,3.6,Private,23,2100,12200,138,35
207,Escorts,4.1,Public,63,2100,8200,104,2
208,MRF,3.7,Public,77,2100,10300,165,10
209,Maersk,4.3,Private,119,2,10600,74,57
210,Shoppers,4.3,Public,32,2,7400,62,2
211,Vishal,3.8,Private,15,2,6100,94,7
212,Conduent,3.6,Private,6,2,15100,102,32
213,Bank,4.4,Private,25,2,13300,120,2
214,Persistent,4.0,Public,33,2,17500,244,29
215,Paras,4.7,Private,17,2,2600,31,41
216,ITC,3.6,Private,23,2,17500,159,79
217,Suzlon,4.1,Public,28,2,7300,72,15
218,Aarti,4.1,Public,48,2,11100,169,48
219,Indian,4.4,Private,64,2,8100,135,2
220,Utkarsh,3.9,Public,14,2,7200,128,169
221,Tata,4.0,Private,22,2,9900,97,83
222,Ceat,4.1,Public,65,2,9000,92,33
223,McDonald,4.3,Private,68,2,4100,58,11
224,Simplex,3.4,Public,99,2,9200,40,13
225,Jindal,4.0,Private,71,2,9800,151,17
226,Biocon,3.9,Public,45,2,9500,115,40
227,R,4.0,Private,20,2,9700,144,22
228,RSPL,4.1,Private,36,2,8100,70,14
229,HDFC,4.0,Public,21,2,9000,79,28
230,Berger,3.7,Public,100,1900,8000,160,52
231,ACC,4.0,Public,87,1900,9500,114,5
232,Titan,4.4,Public,5,1900,8200,75,32
233,RBL,3.8,Public,80,1900,12400,98,34
234,Arvind,4.2,Public,92,1900,9700,32,17
235,KocharTech,4.3,Private,28,1900,3800,40,37
236,Bajaj,4.1,Public,85,1900,8600,81,39
237,Dabur,3.9,Public,139,1900,6900,117,20
238,Wipro,3.9,Private,78,1900,5500,97,2
239,PNB,3.6,Private,22,1900,7000,92,4
240,Access,4.0,Private,12,1900,11600,121,95
241,JK,4.1,Public,49,1900,7300,139,4
242,Kotak,3.9,Public,22,1900,9700,109,89
243,IndiGo,3.5,Private,17,1900,8800,224,41
244,Torrent,4.0,Public,52,1900,7800,59,10
245,Huawei,3.9,Private,21,1900,11700,70,6
246,Carelon,4.1,Private,23,1900,10600,194,21
247,Cogent,3.3,Private,19,1900,6800,128,2
248,PolicyBazaar,3.5,Public,15,1900,9200,128,66
249,GeBBS,3.8,Private,18,1900,7000,69,62
250,Dilip,4.0,Public,36,1900,9200,83,13
251,Lava,4.1,Public,14,1900,6500,40,8
252,Tractors,4.2,Public,63,1900,8600,64,29
253,Reliance,4.3,Private,16,1900,7300,56,2
254,Aakash,3.7,Private,35,1800,10300,127,96
255,Apollo,4.1,Public,51,1800,8700,78,6
256,Capita,3.9,Private,18,1800,12000,77,21
257,KPIT,3.6,Public,33,1800,12300,109,3
258,Flex,4.1,Private,54,1800,15000,93,9
259,State,3.7,Private,19,1800,6300,44,2
260,UPL,4.2,Public,54,1800,8900,96,4
261,Patanjali,4.1,Private,17,1800,8000,70,2
262,Tata,4.2,Private,23,1800,8500,82,65
263,Synechron,4.1,Private,22,1800,14900,148,35
264,S,4.2,Public,106,1800,10300,97,24
265,AFCONS,4.4,Private,64,1800,7200,124,2
266,Max,4.1,Private,22,1800,7800,68,62
267,Birlasoft,3.8,Public,28,1700,17500,142,95
268,Reliance,4.1,Public,16,1700,5900,101,2
269,Statestreet,3.3,Private,11,1700,7500,129,2
270,Ola,3.6,Private,13,1700,11800,93,175
271,Mankind,4.2,Private,28,1700,7300,114,20
272,Lenskart,3.1,Private,13,1700,7500,134,151
273,Nestle,4.1,Public,64,1700,8600,143,15
274,AGS,4.0,Private,12,1700,6900,83,18
275,Fortis,4.0,Public,27,1700,6100,69,111
276,Blue,4.1,Public,40,1700,6500,53,7
277,Tech,3.5,Public,20,1700,9700,187,103
278,Landmark,4.1,Private,50,1700,9000,63,63
279,Future,4.3,Public,36,1700,6800,39,2
280,Walmart,4.1,Private,14,1700,11700,169,38
281,Zensar,3.9,Public,22,1700,15900,130,62
282,Fiserv,3.7,Private,39,1700,16300,87,170
283,Rivigo,3.9,Private,9,1700,9100,60,2
284,Tata,3.7,Private,34,1700,12400,113,177
285,Eureka,4.0,Private,41,1700,7000,36,16
286,Birla,4.3,Private,23,1700,7400,58,3
287,JMC,4.2,Public,41,1700,6500,68,3
288,I,4.0,Private,18,1600,4100,45,13
289,Lifestyle,4.4,Private,24,1600,7100,36,7
290,Tata,4.2,Public,27,1600,6700,24,3
291,Radisson,3.9,Private,114,1600,7500,31,3
